table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,
"Table 1. Annual Estimates of the Population of Metropolitan and Micropolitan Statistical Areas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,,
"CBSA
Code","Metro
Division
Code",Geographic area,Population estimates,,,,,,,,,,"April 1, 2000",
,,,"July 1,
2009","July 1,
2008","July 1,
2007","July 1,
2006","July 1,
2005","July 1,
2004","July 1,
2003","July 1,
2002","July 1,
2001","July 1,
2000",Estimates base,Census
,,Metropolitan statistical areas,,,,,,,,,,,,
,,(Titles of metropolitan divisions are indented.),,,,,,,,,,,,
23060,,"Fort Wayne, IN","414,315","411,625","409,659","406,112","402,638","400,163","398,574","396,060","393,586","391,066","390,156","390,156"
23420,,"Fresno, CA","915,267","903,133","889,888","878,024","867,438","857,162","844,194","828,245","812,426","801,444","798,821","799,407"
23460,,"Gadsden, AL","103,645","103,435","103,216","102,854","102,602","102,657","102,698","102,815","102,914","103,313","103,460","103,459"
23540,,"Gainesville, FL","260,690","259,179","257,114","253,757","248,066","244,060","241,310","238,868","235,950","233,142","232,398","232,392"
23580,,"Gainesville, GA","187,743","184,731","178,838","171,867","165,245","159,745","155,887","151,775","146,870","140,886","139,315","139,277"
24020,,"Glens Falls, NY","128,774","128,653","128,381","127,944","127,392","126,720","125,864","125,001","124,657","124,348","124,345","124,345"
24140,,"Goldsboro, NC","113,811","113,419","113,300","112,697","113,221","113,569","112,777","112,804","112,952","113,297","113,332","113,329"
24220,,"Grand Forks, ND-MN","97,190","97,261","96,789","97,796","97,298","97,840","96,132","96,093","96,436","97,331","97,478","97,478"
24300,,"Grand Junction, CO","146,093","141,905","138,289","133,651","129,457","127,095","124,510","122,131","119,287","117,488","116,935","116,255"
24340,,"Grand Rapids-Wyoming, MI","778,009","776,505","774,732","770,744","767,149","763,372","759,978","755,875","750,083","743,092","740,489","740,482"
24500,,"Great Falls, MT","82,178","82,022","81,780","81,813","81,766","81,681","81,065","80,600","80,387","80,201","80,357","80,357"
24540,,"Greeley, CO /1","254,759","248,852","242,250","234,387","225,856","217,706","210,635","203,570","193,060","183,045","180,857","180,926"
24580,,"Green Bay, WI","304,783","302,322","300,914","298,302","296,463","294,375","290,972","288,747","285,858","283,337","282,499","282,599"
24660,,"Greensboro-High Point, NC","714,765","707,185","696,287","685,582","673,638","665,024","661,123","656,811","652,373","645,536","643,452","643,430"
24780,,"Greenville, NC","179,715","176,589","172,824","168,607","163,933","161,371","159,023","157,069","155,006","153,156","152,676","152,772"
24860,,"Greenville-Mauldin-Easley, SC","639,617","630,098","616,954","602,989","590,654","583,166","577,255","572,407","567,887","561,900","559,927","559,940"
25060,,"Gulfport-Biloxi, MS","238,772","236,155","231,583","225,681","256,655","254,385","249,989","249,820","248,185","246,838","246,197","246,190"
25180,,"Hagerstown-Martinsburg, MD-WV","266,149","264,278","261,279","256,333","249,556","243,004","236,598","230,900","226,726","223,526","222,771","222,771"
25260,,"Hanford-Corcoran, CA","148,764","148,746","147,622","145,168","143,178","142,151","138,714","134,681","132,453","129,774","129,461","129,461"
25420,,"Harrisburg-Carlisle, PA","536,919","533,802","529,783","525,594","520,431","517,793","516,171","513,711","510,511","509,454","509,084","509,074"
25500,,"Harrisonburg, VA","120,271","118,770","117,810","116,409","114,503","112,651","111,707","111,243","109,901","108,285","108,169","108,193"
25540,,"Hartford-West Hartford-East Hartford, CT","1,195,998","1,191,170","1,186,341","1,182,625","1,178,556","1,175,284","1,173,575","1,165,667","1,156,981","1,150,915","1,148,622","1,148,618"
25620,,"Hattiesburg, MS","143,093","141,000","138,879","135,356","131,889","129,871","128,121","126,694","125,363","124,325","123,812","123,812"
25860,,"Hickory-Lenoir-Morganton, NC","365,364","363,237","360,105","356,726","353,589","350,876","348,905","348,183","346,821","343,120","341,820","341,851"
25980,,"Hinesville-Fort Stewart, GA","74,420","70,284","71,780","71,537","73,919","72,872","71,196","72,146","70,838","71,802","71,914","71,914"
26100,,"Holland-Grand Haven, MI","261,957","260,891","258,808","256,851","254,312","252,323","249,228","246,332","243,502","239,490","238,314","238,314"
26180,,"Honolulu, HI","907,574","902,745","898,695","903,467","900,340","894,406","888,026","882,628","877,189","875,061","876,158","876,156"
26300,,"Hot Springs, AR","98,479","97,700","96,499","95,492","93,253","92,028","91,196","90,151","89,311","88,350","88,068","88,068"
26380,,"Houma-Bayou Cane-Thibodaux, LA","202,973","202,717","201,508","200,895","197,554","197,077","196,408","195,589","194,783","194,435","194,477","194,477"
26420,,"Houston-Sugar Land-Baytown, TX","5,867,489","5,726,705","5,597,674","5,484,883","5,299,567","5,190,444","5,084,017","4,978,638","4,851,189","4,739,414","4,715,417","4,715,407"
26580,,"Huntington-Ashland, WV-KY-OH","285,624","284,903","284,743","284,789","284,527","285,280","286,179","286,049","287,090","288,355","288,651","288,649"
26620,,"Huntsville, AL","406,316","397,228","387,705","379,304","370,064","363,221","358,448","353,145","347,907","343,798","342,628","342,376"
26820,,"Idaho Falls, ID","126,131","123,123","119,210","115,330","111,855","109,171","106,193","104,289","102,916","102,081","101,677","101,677"
26900,,"Indianapolis-Carmel, IN","1,743,658","1,720,796","1,697,656","1,671,898","1,645,027","1,622,935","1,600,165","1,578,239","1,556,076","1,531,156","1,525,103","1,525,104"
26980,,"Iowa City, IA","152,263","149,359","146,688","144,271","142,228","140,758","138,453","136,542","134,878","132,182","131,676","131,676"
27060,,"Ithaca, NY","101,779","101,027","100,413","99,997","99,698","99,747","99,203","98,393","97,575","96,662","96,502","96,501"
27100,,"Jackson, MI","159,828","160,266","162,698","162,783","162,530","161,761","161,824","160,791","159,756","158,735","158,422","158,422"
27140,,"Jackson, MS","540,866","537,194","533,801","530,664","521,493","515,995","509,068","504,423","501,182","498,252","497,200","497,197"
